orthoGp4550: TxB|gene10002_TxB
orthoGp5218: TxA|gene10570_TxA
orthoGp5219: TxA|gene10586_TxA
orthoGp5220: TxA|gene10595_TxA
orthoGp5221: TxA|gene10602_TxA
orthoGp5222: TxA|gene10606_TxA
orthoGp5223: TxA|gene10621_TxA
orthoGp5224: TxA|gene10623_TxA
orthoGp5225: TxA|gene10629_TxA
orthoGp5226: TxA|gene10630_TxA
orthoGp5227: TxA|gene1080_TxA
orthoGp5228: TxA|gene109_TxA
orthoGp5229: TxA|gene1240_TxA
orthoGp5230: TxA|gene1272_TxA
orthoGp5231: TxA|gene1298_TxA
orthoGp5232: TxA|gene1351_TxA
orthoGp5233: TxA|gene1355_TxA
orthoGp5234: TxA|gene136_TxA
orthoGp5235: TxA|gene138_TxA
orthoGp5236: TxA|gene144_TxA
orthoGp5237: TxA|gene146_TxA
orthoGp5238: TxA|gene1482_TxA
orthoGp5239: TxA|gene1510_TxA
orthoGp5240: TxA|gene1530_TxA
orthoGp5241: TxA|gene1537_TxA
orthoGp5242: TxA|gene1539_TxA
orthoGp5243: TxA|gene1540_TxA
orthoGp5244: TxA|gene1545_TxA
orthoGp5245: TxA|gene1547_TxA
orthoGp5246: TxA|gene156_TxA
orthoGp5247: TxA|gene157_TxA
orthoGp5248: TxA|gene1594_TxA
orthoGp5249: TxA|gene1622_TxA
orthoGp5250: TxA|gene1628_TxA
orthoGp5251: TxA|gene1629_TxA
orthoGp5252: TxA|gene1643_TxA
orthoGp5253: TxA|gene1658_TxA
orthoGp5254: TxA|gene1660_TxA
orthoGp5255: TxA|gene1666_TxA
orthoGp5256: TxA|gene1681_TxA
orthoGp5257: TxA|gene1684_TxA
orthoGp5258: TxA|gene1741_TxA
orthoGp5259: TxA|gene1742_TxA
orthoGp5260: TxA|gene1743_TxA
orthoGp5261: TxA|gene1744_TxA
orthoGp5262: TxA|gene1761_TxA
orthoGp5263: TxA|gene1779_TxA
orthoGp5264: TxA|gene1782_TxA
orthoGp5265: TxA|gene1831_TxA
orthoGp5266: TxA|gene1837_TxA
orthoGp5267: TxA|gene1985_TxA
orthoGp5268: TxA|gene19_TxA
orthoGp5269: TxA|gene2001_TxA
orthoGp5270: TxA|gene2024_TxA
orthoGp5271: TxA|gene2069_TxA
orthoGp5272: TxA|gene2081_TxA
orthoGp5273: TxA|gene2083_TxA
orthoGp5274: TxA|gene2084_TxA
orthoGp5275: TxA|gene2138_TxA
orthoGp5276: TxA|gene2142_TxA
orthoGp5277: TxA|gene214_TxA
orthoGp5278: TxA|gene218_TxA
orthoGp5279: TxA|gene2196_TxA
orthoGp5280: TxA|gene2199_TxA
orthoGp5281: TxA|gene2264_TxA
orthoGp5282: TxA|gene2274_TxA
orthoGp5283: TxA|gene2278_TxA
orthoGp5284: TxA|gene2295_TxA
orthoGp5285: TxA|gene22_TxA
orthoGp5286: TxA|gene2372_TxA
orthoGp5287: TxA|gene241_TxA
orthoGp5288: TxA|gene242_TxA
orthoGp5289: TxA|gene2455_TxA
orthoGp5290: TxA|gene2471_TxA
orthoGp5291: TxA|gene2480_TxA
orthoGp5292: TxA|gene2484_TxA
orthoGp5293: TxA|gene2491_TxA
orthoGp5294: TxA|gene2504_TxA
orthoGp5295: TxA|gene2533_TxA
orthoGp5296: TxA|gene2536_TxA
orthoGp5297: TxA|gene2540_TxA
orthoGp5298: TxA|gene2577_TxA
orthoGp5299: TxA|gene2578_TxA
orthoGp5300: TxA|gene2580_TxA
orthoGp5301: TxA|gene2583_TxA
orthoGp5302: TxA|gene2599_TxA
orthoGp5303: TxA|gene2641_TxA
orthoGp5304: TxA|gene2642_TxA
orthoGp5305: TxA|gene2649_TxA
orthoGp5306: TxA|gene2650_TxA
orthoGp5307: TxA|gene2656_TxA
orthoGp5308: TxA|gene2673_TxA
orthoGp5309: TxA|gene2708_TxA
orthoGp5310: TxA|gene2723_TxA
orthoGp5311: TxA|gene273_TxA
orthoGp5312: TxA|gene2775_TxA
orthoGp5313: TxA|gene2778_TxA
orthoGp5314: TxA|gene2793_TxA
orthoGp5315: TxA|gene2796_TxA
orthoGp5316: TxA|gene2798_TxA
orthoGp5317: TxA|gene280_TxA
orthoGp5318: TxA|gene2811_TxA
orthoGp5319: TxA|gene2812_TxA
orthoGp5320: TxA|gene2825_TxA
orthoGp5321: TxA|gene2834_TxA
orthoGp5322: TxA|gene2886_TxA
orthoGp5323: TxA|gene2892_TxA
orthoGp5324: TxA|gene2901_TxA
orthoGp5325: TxA|gene2913_TxA
orthoGp5326: TxA|gene2961_TxA
orthoGp5327: TxA|gene2965_TxA
orthoGp5328: TxA|gene2969_TxA
orthoGp5329: TxA|gene2_TxA
orthoGp5330: TxA|gene3033_TxA
orthoGp5331: TxA|gene3050_TxA
orthoGp5332: TxA|gene3091_TxA
orthoGp5333: TxA|gene3114_TxA
orthoGp5334: TxA|gene3118_TxA
orthoGp5335: TxA|gene3129_TxA
orthoGp5336: TxA|gene3130_TxA
orthoGp5337: TxA|gene317_TxA
orthoGp5338: TxA|gene3203_TxA
orthoGp5339: TxA|gene3204_TxA
orthoGp5340: TxA|gene3235_TxA
orthoGp5341: TxA|gene330_TxA
orthoGp5342: TxA|gene3339_TxA
orthoGp5343: TxA|gene3347_TxA
orthoGp5344: TxA|gene3353_TxA
orthoGp5345: TxA|gene3357_TxA
orthoGp5346: TxA|gene3379_TxA
orthoGp5347: TxA|gene3383_TxA
orthoGp5348: TxA|gene3389_TxA
orthoGp5349: TxA|gene3393_TxA
orthoGp5350: TxA|gene3394_TxA
orthoGp5351: TxA|gene3404_TxA
orthoGp5352: TxA|gene3405_TxA
orthoGp5353: TxA|gene3463_TxA
orthoGp5354: TxA|gene3465_TxA
orthoGp5355: TxA|gene3467_TxA
orthoGp5356: TxA|gene3471_TxA
orthoGp5357: TxA|gene3474_TxA
orthoGp5358: TxA|gene3478_TxA
orthoGp5359: TxA|gene3479_TxA
orthoGp5360: TxA|gene3481_TxA
orthoGp5361: TxA|gene3485_TxA
orthoGp5362: TxA|gene349_TxA
orthoGp5363: TxA|gene3500_TxA
orthoGp5364: TxA|gene3501_TxA
orthoGp5365: TxA|gene3512_TxA
orthoGp5366: TxA|gene3527_TxA
orthoGp5367: TxA|gene3546_TxA
orthoGp5368: TxA|gene3564_TxA
orthoGp5369: TxA|gene3573_TxA
orthoGp5370: TxA|gene3576_TxA
orthoGp5371: TxA|gene3697_TxA
orthoGp5372: TxA|gene3701_TxA
orthoGp5373: TxA|gene3702_TxA
orthoGp5374: TxA|gene3705_TxA
orthoGp5375: TxA|gene3706_TxA
orthoGp5376: TxA|gene3726_TxA
orthoGp5377: TxA|gene3736_TxA
orthoGp5378: TxA|gene3742_TxA
orthoGp5379: TxA|gene3754_TxA
orthoGp5380: TxA|gene3763_TxA
orthoGp5381: TxA|gene3844_TxA
orthoGp5382: TxA|gene3849_TxA
orthoGp5383: TxA|gene3868_TxA
orthoGp5384: TxA|gene3889_TxA
orthoGp5385: TxA|gene3910_TxA
orthoGp5386: TxA|gene3918_TxA
orthoGp5387: TxA|gene391_TxA
orthoGp5388: TxA|gene3921_TxA
orthoGp5389: TxA|gene392_TxA
orthoGp5390: TxA|gene3966_TxA
orthoGp5391: TxA|gene397_TxA
orthoGp5392: TxA|gene3990_TxA
orthoGp5393: TxA|gene3991_TxA
orthoGp5394: TxA|gene403_TxA
orthoGp5395: TxA|gene4066_TxA
orthoGp5396: TxA|gene4068_TxA
orthoGp5397: TxA|gene4074_TxA
orthoGp5398: TxA|gene4086_TxA
orthoGp5399: TxA|gene4088_TxA
orthoGp5400: TxA|gene4093_TxA
orthoGp5401: TxA|gene420_TxA
orthoGp5402: TxA|gene4210_TxA
orthoGp5403: TxA|gene4215_TxA
orthoGp5404: TxA|gene4249_TxA
orthoGp5405: TxA|gene4250_TxA
orthoGp5406: TxA|gene4251_TxA
orthoGp5407: TxA|gene4318_TxA
orthoGp5408: TxA|gene4323_TxA
orthoGp5409: TxA|gene4344_TxA
orthoGp5410: TxA|gene4379_TxA
orthoGp5411: TxA|gene4395_TxA
orthoGp5412: TxA|gene4396_TxA
orthoGp5413: TxA|gene4404_TxA
orthoGp5414: TxA|gene4414_TxA
orthoGp5415: TxA|gene4433_TxA
orthoGp5416: TxA|gene4444_TxA
orthoGp5417: TxA|gene4538_TxA
orthoGp5418: TxA|gene4551_TxA
orthoGp5419: TxA|gene4554_TxA
orthoGp5420: TxA|gene4570_TxA
orthoGp5421: TxA|gene4572_TxA
orthoGp5422: TxA|gene4576_TxA
orthoGp5423: TxA|gene4589_TxA
orthoGp5424: TxA|gene4647_TxA
orthoGp5425: TxA|gene4662_TxA
orthoGp5426: TxA|gene4665_TxA
orthoGp5427: TxA|gene4671_TxA
orthoGp5428: TxA|gene4728_TxA
orthoGp5429: TxA|gene4822_TxA
orthoGp5430: TxA|gene4858_TxA
orthoGp5431: TxA|gene4862_TxA
orthoGp5432: TxA|gene4863_TxA
orthoGp5433: TxA|gene4866_TxA
orthoGp5434: TxA|gene4875_TxA
orthoGp5435: TxA|gene4892_TxA
orthoGp5436: TxA|gene4947_TxA
orthoGp5437: TxA|gene4955_TxA
orthoGp5438: TxA|gene4968_TxA
orthoGp5439: TxA|gene4983_TxA
orthoGp5440: TxA|gene5010_TxA
orthoGp5441: TxA|gene5014_TxA
orthoGp5442: TxA|gene5026_TxA
orthoGp5443: TxA|gene5031_TxA
orthoGp5444: TxA|gene5040_TxA
orthoGp5445: TxA|gene5045_TxA
orthoGp5446: TxA|gene5059_TxA
orthoGp5447: TxA|gene5062_TxA
orthoGp5448: TxA|gene5078_TxA
orthoGp5449: TxA|gene5079_TxA
orthoGp5450: TxA|gene5082_TxA
orthoGp5451: TxA|gene5085_TxA
orthoGp5452: TxA|gene5092_TxA
orthoGp5453: TxA|gene5116_TxA
orthoGp5454: TxA|gene5118_TxA
orthoGp5455: TxA|gene5145_TxA
orthoGp5456: TxA|gene5147_TxA
orthoGp5457: TxA|gene5148_TxA
orthoGp5458: TxA|gene5169_TxA
orthoGp5459: TxA|gene5170_TxA
orthoGp5460: TxA|gene5206_TxA
orthoGp5461: TxA|gene5234_TxA
orthoGp5462: TxA|gene5367_TxA
orthoGp5463: TxA|gene5379_TxA
orthoGp5464: TxA|gene5380_TxA
orthoGp5465: TxA|gene5392_TxA
orthoGp5466: TxA|gene541_TxA
orthoGp5467: TxA|gene5423_TxA
orthoGp5468: TxA|gene5426_TxA
orthoGp5469: TxA|gene5442_TxA
orthoGp5470: TxA|gene5458_TxA
orthoGp5471: TxA|gene5460_TxA
orthoGp5472: TxA|gene5462_TxA
orthoGp5473: TxA|gene5512_TxA
orthoGp5474: TxA|gene5527_TxA
orthoGp5475: TxA|gene5534_TxA
orthoGp5476: TxA|gene5537_TxA
orthoGp5477: TxA|gene5540_TxA
orthoGp5478: TxA|gene5560_TxA
orthoGp5479: TxA|gene557_TxA
orthoGp5480: TxA|gene5582_TxA
orthoGp5481: TxA|gene5591_TxA
orthoGp5482: TxA|gene5592_TxA
orthoGp5483: TxA|gene559_TxA
orthoGp5484: TxA|gene5684_TxA
orthoGp5485: TxA|gene5699_TxA
orthoGp5486: TxA|gene5762_TxA
orthoGp5487: TxA|gene5789_TxA
orthoGp5488: TxA|gene5792_TxA
orthoGp5489: TxA|gene5793_TxA
orthoGp5490: TxA|gene5794_TxA
orthoGp5491: TxA|gene5806_TxA
orthoGp5492: TxA|gene5815_TxA
orthoGp5493: TxA|gene581_TxA
orthoGp5494: TxA|gene5840_TxA
orthoGp5495: TxA|gene584_TxA
orthoGp5496: TxA|gene5877_TxA
orthoGp5497: TxA|gene587_TxA
orthoGp5498: TxA|gene5896_TxA
orthoGp5499: TxA|gene5897_TxA
orthoGp5500: TxA|gene5900_TxA
orthoGp5501: TxA|gene5901_TxA
orthoGp5502: TxA|gene5903_TxA
orthoGp5503: TxA|gene5928_TxA
orthoGp5504: TxA|gene6006_TxA
orthoGp5505: TxA|gene6026_TxA
orthoGp5506: TxA|gene6030_TxA
orthoGp5507: TxA|gene6051_TxA
orthoGp5508: TxA|gene6052_TxA
orthoGp5509: TxA|gene6063_TxA
orthoGp5510: TxA|gene60_TxA
orthoGp5511: TxA|gene6136_TxA
orthoGp5512: TxA|gene6145_TxA
orthoGp5513: TxA|gene6149_TxA
orthoGp5514: TxA|gene6218_TxA
orthoGp5515: TxA|gene6219_TxA
orthoGp5516: TxA|gene6233_TxA
orthoGp5517: TxA|gene6239_TxA
orthoGp5518: TxA|gene6258_TxA
orthoGp5519: TxA|gene6259_TxA
orthoGp5520: TxA|gene6264_TxA
orthoGp5521: TxA|gene6271_TxA
orthoGp5522: TxA|gene631_TxA
orthoGp5523: TxA|gene6329_TxA
orthoGp5524: TxA|gene6355_TxA
orthoGp5525: TxA|gene6358_TxA
orthoGp5526: TxA|gene6361_TxA
orthoGp5527: TxA|gene6366_TxA
orthoGp5528: TxA|gene6377_TxA
orthoGp5529: TxA|gene6388_TxA
orthoGp5530: TxA|gene6423_TxA
orthoGp5531: TxA|gene6433_TxA
orthoGp5532: TxA|gene6439_TxA
orthoGp5533: TxA|gene6443_TxA
orthoGp5534: TxA|gene6461_TxA
orthoGp5535: TxA|gene6475_TxA
orthoGp5536: TxA|gene6517_TxA
orthoGp5537: TxA|gene6526_TxA
orthoGp5538: TxA|gene653_TxA
orthoGp5539: TxA|gene6547_TxA
orthoGp5540: TxA|gene6548_TxA
orthoGp5541: TxA|gene6554_TxA
orthoGp5542: TxA|gene6565_TxA
orthoGp5543: TxA|gene6573_TxA
orthoGp5544: TxA|gene6574_TxA
orthoGp5545: TxA|gene6577_TxA
orthoGp5546: TxA|gene6585_TxA
orthoGp5547: TxA|gene6594_TxA
orthoGp5548: TxA|gene6615_TxA
orthoGp5549: TxA|gene6625_TxA
orthoGp5550: TxA|gene6628_TxA
orthoGp5551: TxA|gene6629_TxA
orthoGp5552: TxA|gene6631_TxA
orthoGp5553: TxA|gene6634_TxA
orthoGp5554: TxA|gene6636_TxA
orthoGp5555: TxA|gene6641_TxA
orthoGp5556: TxA|gene6660_TxA
orthoGp5557: TxA|gene6668_TxA
orthoGp5558: TxA|gene6720_TxA
orthoGp5559: TxA|gene6736_TxA
orthoGp5560: TxA|gene6739_TxA
orthoGp5561: TxA|gene6746_TxA
orthoGp5562: TxA|gene6748_TxA
orthoGp5563: TxA|gene6749_TxA
orthoGp5564: TxA|gene6756_TxA
orthoGp5565: TxA|gene6773_TxA
orthoGp5566: TxA|gene6775_TxA
orthoGp5567: TxA|gene6776_TxA
orthoGp5568: TxA|gene6786_TxA
orthoGp5569: TxA|gene6806_TxA
orthoGp5570: TxA|gene6843_TxA
orthoGp5571: TxA|gene6855_TxA
orthoGp5572: TxA|gene6885_TxA
orthoGp5573: TxA|gene6937_TxA
orthoGp5574: TxA|gene6944_TxA
orthoGp5575: TxA|gene6954_TxA
orthoGp5576: TxA|gene6957_TxA
orthoGp5577: TxA|gene6984_TxA
orthoGp5578: TxA|gene6994_TxA
orthoGp5579: TxA|gene6998_TxA
orthoGp5580: TxA|gene7019_TxA
orthoGp5581: TxA|gene7020_TxA
orthoGp5582: TxA|gene7053_TxA
orthoGp5583: TxA|gene7062_TxA
orthoGp5584: TxA|gene7063_TxA
orthoGp5585: TxA|gene7118_TxA
orthoGp5586: TxA|gene7136_TxA
orthoGp5587: TxA|gene7148_TxA
orthoGp5588: TxA|gene7154_TxA
orthoGp5589: TxA|gene7172_TxA
orthoGp5590: TxA|gene7174_TxA
orthoGp5591: TxA|gene7220_TxA
orthoGp5592: TxA|gene7242_TxA
orthoGp5593: TxA|gene7253_TxA
orthoGp5594: TxA|gene7263_TxA
orthoGp5595: TxA|gene7279_TxA
orthoGp5596: TxA|gene7319_TxA
orthoGp5597: TxA|gene7325_TxA
orthoGp5598: TxA|gene7326_TxA
orthoGp5599: TxA|gene7478_TxA
orthoGp5600: TxA|gene7495_TxA
orthoGp5601: TxA|gene7515_TxA
orthoGp5602: TxA|gene7550_TxA
orthoGp5603: TxA|gene7552_TxA
orthoGp5604: TxA|gene75_TxA
orthoGp5605: TxA|gene761_TxA
orthoGp5606: TxA|gene763_TxA
orthoGp5607: TxA|gene7644_TxA
orthoGp5608: TxA|gene7647_TxA
orthoGp5609: TxA|gene7650_TxA
orthoGp5610: TxA|gene7654_TxA
orthoGp5611: TxA|gene7669_TxA
orthoGp5612: TxA|gene7671_TxA
orthoGp5613: TxA|gene7694_TxA
orthoGp5614: TxA|gene7700_TxA
orthoGp5615: TxA|gene7701_TxA
orthoGp5616: TxA|gene7705_TxA
orthoGp5617: TxA|gene7752_TxA
orthoGp5618: TxA|gene7797_TxA
orthoGp5619: TxA|gene7827_TxA
orthoGp5620: TxA|gene7837_TxA
orthoGp5621: TxA|gene7873_TxA
orthoGp5622: TxA|gene7874_TxA
orthoGp5623: TxA|gene7889_TxA
orthoGp5624: TxA|gene7891_TxA
orthoGp5625: TxA|gene7895_TxA
orthoGp5626: TxA|gene7906_TxA
orthoGp5627: TxA|gene7953_TxA
orthoGp5628: TxA|gene7975_TxA
orthoGp5629: TxA|gene7976_TxA
orthoGp5630: TxA|gene7977_TxA
orthoGp5631: TxA|gene7978_TxA
orthoGp5632: TxA|gene7983_TxA
orthoGp5633: TxA|gene7988_TxA
orthoGp5634: TxA|gene7994_TxA
orthoGp5635: TxA|gene7999_TxA
orthoGp5636: TxA|gene8003_TxA
orthoGp5637: TxA|gene8031_TxA
orthoGp5638: TxA|gene8036_TxA
orthoGp5639: TxA|gene8050_TxA
orthoGp5640: TxA|gene8056_TxA
orthoGp5641: TxA|gene8080_TxA
orthoGp5642: TxA|gene8087_TxA
orthoGp5643: TxA|gene8097_TxA
orthoGp5644: TxA|gene8107_TxA
orthoGp5645: TxA|gene8108_TxA
orthoGp5646: TxA|gene8113_TxA
orthoGp5647: TxA|gene8121_TxA
orthoGp5648: TxA|gene8151_TxA
orthoGp5649: TxA|gene8153_TxA
orthoGp5650: TxA|gene8155_TxA
orthoGp5651: TxA|gene8159_TxA
orthoGp5652: TxA|gene8165_TxA
orthoGp5653: TxA|gene8175_TxA
orthoGp5654: TxA|gene8187_TxA
orthoGp5655: TxA|gene8195_TxA
orthoGp5656: TxA|gene8231_TxA
orthoGp5657: TxA|gene8237_TxA
orthoGp5658: TxA|gene8243_TxA
orthoGp5659: TxA|gene8252_TxA
orthoGp5660: TxA|gene825_TxA
orthoGp5661: TxA|gene828_TxA
orthoGp5662: TxA|gene8326_TxA
orthoGp5663: TxA|gene8332_TxA
orthoGp5664: TxA|gene8371_TxA
orthoGp5665: TxA|gene8373_TxA
orthoGp5666: TxA|gene83_TxA
orthoGp5667: TxA|gene8402_TxA
orthoGp5668: TxA|gene8446_TxA
orthoGp5669: TxA|gene8449_TxA
orthoGp5670: TxA|gene8465_TxA
orthoGp5671: TxA|gene8492_TxA
orthoGp5672: TxA|gene852_TxA
orthoGp5673: TxA|gene8564_TxA
orthoGp5674: TxA|gene8575_TxA
orthoGp5675: TxA|gene8617_TxA
orthoGp5676: TxA|gene8692_TxA
orthoGp5677: TxA|gene8699_TxA
orthoGp5678: TxA|gene8700_TxA
orthoGp5679: TxA|gene8708_TxA
orthoGp5680: TxA|gene8749_TxA
orthoGp5681: TxA|gene8757_TxA
orthoGp5682: TxA|gene8847_TxA
orthoGp5683: TxA|gene8848_TxA
orthoGp5684: TxA|gene8863_TxA
orthoGp5685: TxA|gene8881_TxA
orthoGp5686: TxA|gene8885_TxA
orthoGp5687: TxA|gene8888_TxA
orthoGp5688: TxA|gene8907_TxA
orthoGp5689: TxA|gene8987_TxA
orthoGp5690: TxA|gene9102_TxA
orthoGp5691: TxA|gene9138_TxA
orthoGp5692: TxA|gene913_TxA
orthoGp5693: TxA|gene9146_TxA
orthoGp5694: TxA|gene9176_TxA
orthoGp5695: TxA|gene9204_TxA
orthoGp5696: TxA|gene9209_TxA
orthoGp5697: TxA|gene9217_TxA
orthoGp5698: TxA|gene9230_TxA
orthoGp5699: TxA|gene9245_TxA
orthoGp5700: TxA|gene9264_TxA
orthoGp5701: TxA|gene9266_TxA
orthoGp5702: TxA|gene9273_TxA
orthoGp5703: TxA|gene9274_TxA
orthoGp5704: TxA|gene9290_TxA
orthoGp5705: TxA|gene9315_TxA
orthoGp5706: TxA|gene9316_TxA
orthoGp5707: TxA|gene9325_TxA
orthoGp5708: TxA|gene9330_TxA
orthoGp5709: TxA|gene9342_TxA
orthoGp5710: TxA|gene9400_TxA
orthoGp5711: TxA|gene947_TxA
orthoGp5712: TxA|gene9488_TxA
orthoGp5713: TxA|gene9492_TxA
orthoGp5714: TxA|gene9504_TxA
orthoGp5715: TxA|gene9527_TxA
orthoGp5716: TxA|gene9742_TxA
orthoGp5717: TxA|gene9745_TxA
orthoGp5718: TxA|gene9746_TxA
orthoGp5719: TxA|gene9748_TxA
orthoGp5720: TxA|gene9768_TxA
orthoGp5721: TxA|gene9789_TxA
orthoGp5722: TxA|gene9792_TxA
orthoGp5723: TxA|gene9796_TxA
orthoGp5724: TxA|gene97_TxA
orthoGp5725: TxA|gene9806_TxA
orthoGp5726: TxA|gene9867_TxA
orthoGp5727: TxA|gene9943_TxA
orthoGp5728: TxA|gene9947_TxA
orthoGp5729: TxA|gene9995_TxA
orthoGp5730: TxA|gene99_TxA
orthoGp5731: TxA|gene9_TxA
